plot_id,grove_name,yr_installed,read24,src,geometry
REME-THIN-23,REME,2023,Yes,arrow,"c(352918.76463771, 4044353.73996865)"
REME-THIN-25,REME,2023,Yes,arrow,"c(353329.453716569, 4044143.10728471)"
REME-THIN-26,REME,2023,Yes,arrow,"c(353299.805671983, 4043811.47902659)"
REME-THIN-27,REME,2023,Yes,arrow,"c(353264.250940278, 4044384.57878972)"
REME-THIN-29,REME,2023,Yes,arrow,"c(353177.124759658, 4044195.97166237)"
REME-USGS-114,REME,2024,Yes,gps,"c(353921.9335, 4044083.406)"
REME-USGS-122,REME,2024,Yes,gps,"c(353329.4302, 4044302.786)"
REME-USGS-409001,REME,2024,Yes,gps,"c(353911.8841, 4044000.517)"
REME-USGS-409003,REME,2024,Yes,gps,"c(353784.2744, 4043777.298)"
REME-USGS-409004,REME,2024,No,gps,"c(353609.4311, 4044149.619)"
REME-USGS-409005,REME,2024,Yes,gps,"c(353846.3115, 4044038.728)"
REMO-PLANT-01,REMO,2023,Yes,gps,"c(327695.286662716, 4061210.65648866)"
REMO-PLANT-02,REMO,2023,Yes,gps,"c(330488.393380657, 4061315.31259993)"
REMO-PLANT-04,REMO,2023,Yes,gps,"c(329351.276006249, 4061511.69810003)"
REMO-PLANT-05,REMO,2023,Yes,gps,"c(328000.486246365, 4061085.87508078)"
REMO-PLANT-06,REMO,2023,Yes,gps,"c(329757.682797282, 4061261.21179779)"
REMO-PLANT-07,REMO,2023,Yes,gps,"c(329151.075542994, 4062194.83271664)"
REMO-PLANT-09,REMO,2023,Yes,gps,"c(327664.020916516, 4061482.87878707)"
REMO-PLANT-10,REMO,2023,Yes,gps,"c(329183.289877124, 4061053.55305574)"
REMO-PLANT-11,REMO,2023,Yes,gps,"c(329356.571229788, 4061939.01200519)"
REMO-PLANT-13,REMO,2023,Yes,gps,"c(329990.319159119, 4061366.35964767)"
REMO-PLANT-14,REMO,2023,Yes,gps,"c(329909.798265062, 4060908.24290382)"
REMO-PLANT-16,REMO,2023,Yes,gps,"c(330244.603905092, 4061391.39472371)"
REMO-PLANT-17,REMO,2023,Yes,gps,"c(330006.334610773, 4060961.5992654)"
REMO-PLANT-18,REMO,2023,Yes,gps,"c(329222.993025879, 4061578.73943582)"
REMO-PLANT-19,REMO,2023,Yes,gps,"c(329850.091294189, 4061367.92290776)"
REMO-PLANT-20,REMO,2023,Yes,gps,"c(329546.589835276, 4061578.62034341)"
REMO-PLANT-21,REMO,2023,Yes,gps,"c(330033.332952249, 4061263.50754166)"
REMO-PLANT-22,REMO,2023,Yes,gps,"c(329409.65582608, 4061166.35811539)"
REMO-PLANT-25,REMO,2023,Yes,gps,"c(330407.444393069, 4061240.66577758)"
REMO-PLANT-26,REMO,2023,Yes,gps,"c(329786.647709375, 4060667.29039577)"
REMO-PLANT-27,REMO,2023,Yes,gps,"c(329668.7378631, 4061683.9608231)"
REMO-PLANT-29,REMO,2023,Yes,gps,"c(327846.476167568, 4061273.87810829)"
