plot_id,date_read,y_proj,x_proj
EAFR-RX-01-P,2025,4034761,352024
EAFR-RX-10-P,2025,4034505,350200
EAFR-RX-13-P,2025,4034658,350295
EAFR-RX-19-P,2025,4034818,350210
EAFR-RX-24-P,2025,4035194,350721
EAFR-RX-25-P,2025,4035086,351671
EAFR-RX-27-P,2025,4035091,351489
EAFR-RX-28-P,2025,4034288,349603
EAFR-RX-30-P,2025,4034809,350482
